Rank,School,Conference,Power Rating,oe,de,tempo,id,RANK,TEAM,2021-22 RECORD,POINTS
174,Eastern Washington,BSky,11.94,105.55,107.20,69.20,70,,,,
175,Cal Baptist,WAC,11.92,102.57,103.45,68.20,394,,,,
176,UTEP,CUSA,11.86,99.83,100.11,66.98,139,,,,
177,UNC Asheville,BSth,11.81,103.82,105.30,67.70,80,,,,
178,Tulsa,Amer,11.78,98.90,99.11,68.40,5,,,,
179,Buffalo,MAC,11.78,102.43,103.60,71.80,179,,,,
180,UC Riverside,BW,11.76,99.66,100.10,65.29,120,,,,
181,Fairfield,MAAC,11.71,101.36,102.40,64.10,170,,,,
182,Appalachian St.,SB,11.69,99.59,100.18,65.10,331,,,,
183,Bryant,AE,11.68,102.62,104.07,72.60,231,,,,
184,Youngstown St.,Horz,11.68,105.39,107.60,66.80,155,,,,
185,Northeastern,CAA,11.54,100.30,101.43,65.14,131,,,,
186,Texas St.,SB,11.51,99.53,100.51,63.13,332,,,,
187,Old Dominion,SB,11.49,97.27,97.67,65.25,138,,,,
188,Cal St. Fullerton,BW,11.49,101.10,102.56,67.70,123,,,,
189,Lipscomb,ASun,11.46,102.81,104.80,68.50,40,,,,
190,Navy,Pat,11.46,97.21,97.68,64.64,258,,,,
191,Murray St.,MVC,11.42,99.36,100.50,67.51,240,,,,
192,Illinois St.,MVC,11.41,102.01,103.89,65.54,204,,,,
193,Cornell,Ivy,11.39,101.90,103.80,69.80,162,,,,
194,Jacksonville St.,ASun,11.37,101.43,103.25,65.70,238,,,,
195,La Salle,A10,11.37,100.32,101.84,67.75,57,,,,
196,UNC Wilmington,CAA,11.36,102.73,104.92,67.24,124,,,,
197,Quinnipiac,MAAC,11.36,102.31,104.40,69.45,174,,,,
198,North Dakota St.,Sum,11.27,99.80,101.40,65.97,71,,,,
199,College of Charleston,CAA,11.24,100.72,102.64,73.50,129,,,,
200,George Washington,A10,11.24,100.66,102.57,67.20,48,,,,
201,Rice,CUSA,11.17,103.55,106.40,68.23,146,,,,
202,Norfolk St.,MEAC,11.12,99.02,100.75,67.03,191,,,,
203,Mercer,SC,11.07,101.40,103.90,65.77,284,,,,
204,Ball St.,MAC,11.01,100.75,103.20,66.60,184,,,,
205,Harvard,Ivy,10.97,97.97,99.75,67.60,164,,,,
